Exporter,Importer,Value
Spain,Portugal,89948.73
Portugal,Spain,15632.95
Sweden,Portugal,28644.17
Portugal,Switzerland,0.05
Ukraine,Portugal,274720.86
United Kingdom of Great Britain and Northern Ireland,Portugal,1.16
Portugal,United Kingdom of Great Britain and Northern Ireland,0.03
United States of America,Portugal,12503.76
Austria,Republic of Moldova,35.22
Republic of Moldova,Bulgaria,5749.21
Czechia,Republic of Moldova,16.5
France,Republic of Moldova,12.82
Germany,Republic of Moldova,10.24
Republic of Moldova,Germany,222.76
Republic of Moldova,Greece,124277.34
Hungary,Republic of Moldova,26.0
Italy,Republic of Moldova,14.46
Republic of Moldova,Italy,38078.22
Poland,Republic of Moldova,1.11
Republic of Moldova,Poland,22.05
Romania,Republic of Moldova,318.29
Republic of Moldova,Romania,671205.36
Republic of Moldova,Switzerland,2873.37
Ukraine,Republic of Moldova,776.66
Austria,Romania,4684.69
Romania,Austria,51349.2
Romania,Belgium,9954.23
Bulgaria,Romania,309272.54
Romania,Bulgaria,127906.6
Croatia,Romania,238.38
Romania,Croatia,3525.05
Czechia,Romania,23.07
Romania,Czechia,4094.65
Denmark,Romania,0.26
Romania,Denmark,6621.34
Romania,Estonia,15.43
France,Romania,836.03
Romania,France,40738.52
Germany,Romania,330.42
Romania,Germany,93393.6
Greece,Romania,0.5
Romania,Greece,162306.63
Hungary,Romania,132165.18
Romania,Hungary,7404.35
Romania,Ireland,142.15
Italy,Romania,2367.43
Romania,Italy,503134.68
Romania,Luxembourg,266.07
Romania,Malta,3299.92
Netherlands (Kingdom of the),Romania,232.24
Romania,Netherlands (Kingdom of the),28008.16
Norway,Romania,22.38
Romania,Norway,414.92
Poland,Romania,37.27
Romania,Poland,2913.19
Romania,Portugal,28277.91
Republic of Moldova,Romania,494417.68
Romania,Republic of Moldova,358.58
Serbia,Romania,34452.74
Romania,Serbia,71.32
Slovakia,Romania,409.2
Romania,Slovakia,1324.63
Spain,Romania,58.26
Romania,Spain,455830.83
Romania,Sweden,6409.1
Romania,Switzerland,17353.46
Romania,Ukraine,88.6
Romania,United Kingdom of Great Britain and Northern Ireland,57944.14
United States of America,Romania,0.03
Serbia,Albania,47119.83
Austria,Serbia,6.91
Serbia,Austria,2036.77
Bosnia and Herzegovina,Serbia,128.8
Serbia,Bosnia and Herzegovina,113433.53
Serbia,Canada,0.4
Croatia,Serbia,403.69
Serbia,Croatia,12209.39
Czechia,Serbia,8.86
France,Serbia,151.35
Germany,Serbia,7.85
Serbia,Germany,1237.73
Greece,Serbia,96.19
Serbia,Greece,54.0
Hungary,Serbia,281.16
Serbia,Hungary,136.0
Italy,Serbia,730.76
Serbia,Italy,257427.13
Montenegro,Serbia,26.32
Serbia,Montenegro,27501.85
North Macedonia,Serbia,20.0
Serbia,North Macedonia,63770.26
Serbia,Poland,23.5
Romania,Serbia,591.64
Serbia,Romania,710680.88
Russian Federation,Serbia,5.7
Slovakia,Serbia,24.0
Serbia,Slovakia,5.0
Serbia,Slovenia,437.67
Switzerland,Serbia,0.08
Serbia,Switzerland,1805.99
Serbia,Ukraine,22.0
United Kingdom of Great Britain and Northern Ireland,Serbia,0.01
Serbia,United States of America,3.0
Austria,Slovakia,1234.95
Slovakia,Austria,253693.35
Slovakia,Belgium,6651.03
Czechia,Slovakia,17441.77
Slovakia,Czechia,133674.92
Denmark,Slovakia,248.18
France,Slovakia,7.0
Germany,Slovakia,554.04
Slovakia,Germany,412050.83
Slovakia,Greece,14.95
Hungary,Slovakia,15913.49
Slovakia,Hungary,149061.83
Italy,Slovakia,328.88
Slovakia,Italy,249583.18
Latvia,Slovakia,5.9
Slovakia,Latvia,639.8
Slovakia,Luxembourg,6090.65
Slovakia,Montenegro,0.43
Slovakia,Netherlands (Kingdom of the),1014.38
Slovakia,North Macedonia,0.25
Slovakia,Norway,24.18
Poland,Slovakia,3594.43
Slovakia,Poland,290593.35
Slovakia,Romania,1859.74
Serbia,Slovakia,5.0
Slovakia,Serbia,24.0
Sweden,Slovakia,17.15
Slovakia,Switzerland,26256.28
United Kingdom of Great Britain and Northern Ireland,Slovakia,0.01
Slovakia,United Kingdom of Great Britain and Northern Ireland,0.01
Austria,Slovenia,33239.0
Slovenia,Austria,2901.77
Slovenia,Belgium,94.98
Slovenia,Bosnia and Herzegovina,22.6
Bulgaria,Slovenia,0.03
Croatia,Slovenia,21607.05
Slovenia,Croatia,98.81
Czechia,Slovenia,240.91
France,Slovenia,9.45
Germany,Slovenia,830.52
Slovenia,Germany,555.75
Hungary,Slovenia,73089.07
Slovenia,Hungary,118.58
Italy,Slovenia,147.64
Slovenia,Italy,337165.35
Slovenia,Montenegro,1.02
Netherlands (Kingdom of the),Slovenia,8.1
Slovenia,Netherlands (Kingdom of the),47.52
Poland,Slovenia,64.0
Serbia,Slovenia,251640.61
Ukraine,Slovenia,63830.81
United States of America,Slovenia,0.58
Austria,Spain,1.88
Spain,Austria,0.07
Belgium,Spain,293.04
Spain,Belgium,19744.7
Bulgaria,Spain,411036.84
Spain,Bulgaria,48.36
Canada,Spain,365069.84
Croatia,Spain,36780.39
Spain,Croatia,0.0
Denmark,Spain,72540.0
Spain,Denmark,213.36
Estonia,Spain,109249.27
Finland,Spain,20065.56
Spain,Finland,0.01
France,Spain,1181281.14
Spain,France,14637.48
Germany,Spain,79350.9
Spain,Germany,7024.88
Greece,Spain,10978.08
Spain,Greece,78.44
Hungary,Spain,221.65
Spain,Hungary,3.92
Ireland,Spain,9.01
Spain,Ireland,0.63
Italy,Spain,2649.94
Spain,Italy,159397.21
Latvia,Spain,0.62
Lithuania,Spain,179344.99
Luxembourg,Spain,34.56
Spain,Luxembourg,49.78
Spain,Malta,8.5
Netherlands (Kingdom of the),Spain,17148.31
Spain,Netherlands (Kingdom of the),11715.53
Spain,Norway,0.03
Poland,Spain,27380.68
Spain,Poland,0.26
Portugal,Spain,18681.08
Spain,Portugal,59155.32
Republic of Moldova,Spain,50451.84
Romania,Spain,345356.46
Spain,Romania,33.79
Serbia,Spain,37271.94
Spain,Slovakia,0.0
Sweden,Spain,84927.29
Spain,Sweden,10.93
Switzerland,Spain,0.0
Spain,Switzerland,0.07
Ukraine,Spain,4762205.21
United Kingdom of Great Britain and Northern Ireland,Spain,4727.77
Spain,United Kingdom of Great Britain and Northern Ireland,6.65
United States of America,Spain,19456.41
Spain,United States of America,0.01
Austria,Sweden,250.0
Sweden,Austria,10.19
Canada,Sweden,0.01
Sweden,Canada,0.0
Croatia,Sweden,0.92
Sweden,Czechia,3.32
Denmark,Sweden,6071.23
Sweden,Denmark,53744.1
Estonia,Sweden,954.41
Sweden,Estonia,24.36
Sweden,Faroe Islands,2400.0
Finland,Sweden,6303.53
Sweden,Finland,23.85
France,Sweden,14708.27
Sweden,France,1.68
Germany,Sweden,84979.03
Sweden,Germany,422.39
Sweden,Greece,2.64
Iceland,Sweden,0.01
Sweden,Iceland,0.03
Ireland,Sweden,0.01
Sweden,Ireland,30371.65
Italy,Sweden,0.12
Sweden,Italy,1.05
Latvia,Sweden,447.0
Sweden,Latvia,51.8
Lithuania,Sweden,10888.51
Sweden,Lithuania,95.5
Sweden,Luxembourg,9.0
Netherlands (Kingdom of the),Sweden,0.53
Sweden,Netherlands (Kingdom of the),30040.74
Norway,Sweden,39.12
Sweden,Norway,59880.99
Poland,Sweden,6132.88
Sweden,Poland,2.53
Sweden,Portugal,7502.8
Romania,Sweden,0.04
Russian Federation,Sweden,2.38
Spain,Sweden,0.02
Sweden,Spain,90000.8
Switzerland,Sweden,1.34
Sweden,Switzerland,0.78
Sweden,Ukraine,1.0
United Kingdom of Great Britain and Northern Ireland,Sweden,3.51
Sweden,United Kingdom of Great Britain and Northern Ireland,49351.18
United States of America,Sweden,0.09
Sweden,United States of America,0.01
Austria,Switzerland,36318.12
Switzerland,Austria,25.25
Belgium,Switzerland,2.87
Switzerland,Belgium,0.81
Bulgaria,Switzerland,0.03
Switzerland,Bulgaria,0.01
Canada,Switzerland,21098.58
Switzerland,Croatia,0.02
Czechia,Switzerland,11250.57
Switzerland,Czechia,0.01
Switzerland,Denmark,0.04
Switzerland,Estonia,0.03
Switzerland,Finland,0.71
France,Switzerland,138566.04
Switzerland,France,116.43
Germany,Switzerland,157045.16
Switzerland,Germany,4522.25
Greece,Switzerland,0.12
Switzerland,Greece,0.01
Hungary,Switzerland,8081.96
Italy,Switzerland,728.78
Switzerland,Italy,4.91
Lithuania,Switzerland,24.74
Switzerland,Lithuania,0.05
Netherlands (Kingdom of the),Switzerland,0.48
Switzerland,Netherlands (Kingdom of the),0.01
Switzerland,Norway,0.02
Poland,Switzerland,177.03
Switzerland,Poland,0.06
Portugal,Switzerland,0.01
Romania,Switzerland,7236.99
Serbia,Switzerland,378.09
Slovakia,Switzerland,20630.15
Spain,Switzerland,0.04
Sweden,Switzerland,0.08
Switzerland,Sweden,1.42
Ukraine,Switzerland,4153.17
Switzerland,United Kingdom of Great Britain and Northern Ireland,0.01
United States of America,Switzerland,649.16
Switzerland,United States of America,0.01
Ukraine,Albania,29408.0
Austria,Ukraine,34.51
Ukraine,Austria,1720.03
Ukraine,Belgium,36128.16
Bulgaria,Ukraine,30.0
Ukraine,Croatia,4122.25
Czechia,Ukraine,76.99
Ukraine,Czechia,7696.35
Estonia,Ukraine,44.98
Ukraine,Estonia,1818.01
France,Ukraine,157.87
Ukraine,France,0.0
Germany,Ukraine,321.69
Ukraine,Germany,115444.0
Ukraine,Greece,210077.85
Hungary,Ukraine,42.0
Ukraine,Ireland,114606.0
Italy,Ukraine,25.62
Ukraine,Italy,700410.46
Ukraine,Latvia,8684.43
Ukraine,Lithuania,288.68
Ukraine,Malta,22691.3
Ukraine,Netherlands (Kingdom of the),175368.0
Ukraine,Norway,110.0
Poland,Ukraine,142.04
Ukraine,Poland,3181.1
Ukraine,Portugal,256688.0
Ukraine,Republic of Moldova,776.66
Romania,Ukraine,341.18
Ukraine,Romania,8892.09
Serbia,Ukraine,22.0
Slovakia,Ukraine,14.0
Ukraine,Spain,5681522.65
Ukraine,Switzerland,4862.56
Ukraine,United Kingdom of Great Britain and Northern Ireland,70581.36
Ukraine,United States of America,28.26
Austria,United Kingdom of Great Britain and Northern Ireland,0.0
Belgium,United Kingdom of Great Britain and Northern Ireland,14682.32
United Kingdom of Great Britain and Northern Ireland,Belgium,3794.37
Bosnia and Herzegovina,United Kingdom of Great Britain and Northern Ireland,58.56
Bulgaria,United Kingdom of Great Britain and Northern Ireland,29483.08
Canada,United Kingdom of Great Britain and Northern Ireland,537277.59
Czechia,United Kingdom of Great Britain and Northern Ireland,7527.99
Denmark,United Kingdom of Great Britain and Northern Ireland,314299.53
United Kingdom of Great Britain and Northern Ireland,Denmark,68.54
Estonia,United Kingdom of Great Britain and Northern Ireland,13195.88
Finland,United Kingdom of Great Britain and Northern Ireland,14.26
France,United Kingdom of Great Britain and Northern Ireland,366741.49
United Kingdom of Great Britain and Northern Ireland,France,97.53
Germany,United Kingdom of Great Britain and Northern Ireland,1050862.99
United Kingdom of Great Britain and Northern Ireland,Germany,40.3
Hungary,United Kingdom of Great Britain and Northern Ireland,48.32
United Kingdom of Great Britain and Northern Ireland,Iceland,10232.0
Ireland,United Kingdom of Great Britain and Northern Ireland,89970.44
United Kingdom of Great Britain and Northern Ireland,Ireland,79960.48
Italy,United Kingdom of Great Britain and Northern Ireland,99.17
United Kingdom of Great Britain and Northern Ireland,Italy,4.09
Latvia,United Kingdom of Great Britain and Northern Ireland,62537.96
United Kingdom of Great Britain and Northern Ireland,Latvia,503.2
Lithuania,United Kingdom of Great Britain and Northern Ireland,54738.0
Netherlands (Kingdom of the),United Kingdom of Great Britain and Northern Ireland,101.28
United Kingdom of Great Britain and Northern Ireland,Netherlands (Kingdom of the),4838.01
Poland,United Kingdom of Great Britain and Northern Ireland,305417.63
United Kingdom of Great Britain and Northern Ireland,Poland,16154.0
United Kingdom of Great Britain and Northern Ireland,Portugal,0.65
Republic of Moldova,United Kingdom of Great Britain and Northern Ireland,1199.52
Romania,United Kingdom of Great Britain and Northern Ireland,48588.6
Serbia,United Kingdom of Great Britain and Northern Ireland,0.75
Spain,United Kingdom of Great Britain and Northern Ireland,6514.3
United Kingdom of Great Britain and Northern Ireland,Spain,9256.03
Sweden,United Kingdom of Great Britain and Northern Ireland,69354.11
United Kingdom of Great Britain and Northern Ireland,Sweden,3.88
Ukraine,United Kingdom of Great Britain and Northern Ireland,95195.54
United Kingdom of Great Britain and Northern Ireland,United States of America,45.81
Belgium,United States of America,18.3
United States of America,Belgium,20280.0
Canada,United States of America,2193850.44
United States of America,Canada,85490.7
France,United States of America,62325.4
United States of America,France,1661.0
Germany,United States of America,32389.53
United States of America,Greece,226.25
Italy,United States of America,562.08
United States of America,Italy,535456.47
United States of America,Malta,3720.0
Poland,United States of America,133519.0
United States of America,Portugal,12563.38
United States of America,Spain,59736.0
United Kingdom of Great Britain and Northern Ireland,United States of America,22.41
United States of America,United Kingdom of Great Britain and Northern Ireland,31.21
